series_id,中文品类名,BLS_item_title,H1分组,positionality,grade,confidence,flag,literature,rationale
CUUR0000SEAC01,女外套,Women's outerwear,R,1,2,高,,Frank 1985; Charles et al. 2009,同上
CUUR0000SEAC02,女连衣裙,Women's dresses,R,1,2,高,,Frank 1985; Charles et al. 2009,同上
CUUR0000SEAC03,女套装与单件,Women's suits and separates,R,1,2,高,,Frank 1985; Charles et al. 2009,同上
CUUR0000SEAC04,女内衣/睡衣/泳装及配饰,"Women's underwear, nightwear, swimwear and accessories",R,1,2,中,复核,服装类整体位置性（Frank 1985）; 但内衣可见性低,泳装/配饰可见、内衣不可见——服装类整体位置性
CUUR0000SEHH01,地面覆盖物,Floor coverings,R,1,2,中,,Frank 1999（家居地位）; Heffetz 2011（家用耐用品可见性）,家居为可见地位展示
CUUR0000SEHH02,窗帘与窗饰,Window coverings,R,1,2,中,,Frank 1999; Heffetz 2011,同上
CUUR0000SEHH03,其他家纺布艺,Other linens,R,1,2,中,,Frank 1999; Heffetz 2011,同上
CUUR0000SEHJ01,卧室家具,Bedroom furniture,R,1,2,中,,Frank 1999; Heffetz 2011,家具为可见家居地位
CUUR0000SEHJ02,客厅/厨房/餐厅家具,"Living room, kitchen, and dining room furniture",R,1,2,中,,Frank 1999; Heffetz 2011,同上
CUUR0000SEHJ03,其他家具,Other furniture,R,1,2,中,,Frank 1999; Heffetz 2011,同上
CUUR0000SEHK01,大家电,Major appliances,R,0,0,中,,功能必需耐用品（冰箱/洗衣机）,功能必需品、无地位维度
CUUR0000SEHK02,其他家电,Other appliances,R,0,1,中,复核,小家电有生活方式展示元素、弱,功能为主、弱生活方式展示
CUUR0000SEHL01,钟表灯具装饰品,"Clocks, lamps, and decorator items",R,1,2,中,,Frank 1999（家居地位）,装饰品为家居地位展示
CUUR0000SEHL03,餐具,Dishes and flatware,R,0,1,中,复核,餐具/银器有宴请展示元素、弱,功能为主、弱宴请展示
CUUR0000SEHL04,非电炊具与餐具,Nonelectric cookware and tableware,R,0,0,中,,功能炊具,功能必需品
CUUR0000SEHM01,工具五金耗材,"Tools, hardware and supplies",R,0,0,中,,功能耗材,功能中间品
CUUR0000SEHM02,户外装备与耗材,Outdoor equipment and supplies,R,0,0,中,,户外休闲装备,私人休闲装备
CUUR0000SETC01,轮胎,Tires,R,0,0,中,,功能中间品,车辆功能配件
CUUR0000SETC02,汽车配件（除轮胎）,Vehicle accessories other than tires,R,0,0,中,,功能配件,车辆功能配件
