series_id,中文品类名,BLS_item_title,H1分组,ELI代码,ELI标题,UCC码,UCC数,CE来源,映射依据,备注
CUUR0000SEAD,童女装,Girls' apparel,R,AD011;AD012;AD013;AD014;AD016,AD011=Girls Coats And Jackets | AD012=Girls Dresses/Suits | AD013=Girls Shirts/Blouses/Sweaters | AD014=Girls Skirts/Pants/Shorts | AD016=Girls Underwear/Nightwear/Hosiery,390110;390120;390210;390223;390319;390322,6,D;D;D;D;D;D,BLS CPI Handbook of Methods Appendix 5: CE UCC to CPI ELI Concordance（2024年度支出权重，2026-01起生效）,
CUUR0000SEAE01,男鞋,Men's footwear,R,AE011,AE011=Mens Footwear,400110,1,D,BLS CPI Handbook of Methods Appendix 5: CE UCC to CPI ELI Concordance（2024年度支出权重，2026-01起生效）,
CUUR0000SEAE02,童鞋,Boys' and girls' footwear,R,AE021;AE022,AE021=Boys Footwear | AE022=Girls Footwear,400210;400220,2,D;D,BLS CPI Handbook of Methods Appendix 5: CE UCC to CPI ELI Concordance（2024年度支出权重，2026-01起生效）,
CUUR0000SEAE03,女鞋,Women's footwear,R,AE031,AE031=Womens Footwear,400310,1,D,BLS CPI Handbook of Methods Appendix 5: CE UCC to CPI ELI Concordance（2024年度支出权重，2026-01起生效）,
CUUR0000SEHH01,地面覆盖物,Floor coverings,R,HH011,HH011=Floor Coverings,320111;320624;320625,3,I;I;I,BLS CPI Handbook of Methods Appendix 5: CE UCC to CPI ELI Concordance（2024年度支出权重，2026-01起生效）,
CUUR0000SEHH02,窗帘与窗饰,Window coverings,R,HH021;HH022,HH021=Curtains And Drapes | HH022=Shades And Blinds,280210;320120,2,I;I,BLS CPI Handbook of Methods Appendix 5: CE UCC to CPI ELI Concordance（2024年度支出权重，2026-01起生效）,
CUUR0000SEHH03,其他家纺布艺,Other linens,R,HH031;HH032;HH033,HH031=Bathroom Linens | HH032=Bedroom Linens | HH033=Kitchen/Dining Linens,280110;280120;280140,3,D;D;D,BLS CPI Handbook of Methods Appendix 5: CE UCC to CPI ELI Concordance（2024年度支出权重，2026-01起生效）,
CUUR0000SEHJ01,卧室家具,Bedroom furniture,R,HJ011;HJ012,HJ011=Mattresses/Foundations | HJ012=Other Bedroom Furniture,290110;290120,2,I;I,BLS CPI Handbook of Methods Appendix 5: CE UCC to CPI ELI Concordance（2024年度支出权重，2026-01起生效）,
CUUR0000SEHJ02,客厅/厨房/餐厅家具,"Living room, kitchen, and dining room furniture",R,HJ021;HJ022;HJ023;HJ024,HJ021=Sofas/Slipcovers | HJ022=Living Room Chairs | HJ023=Living Room Tables | HJ024=Kitchen/Dining Room Furniture,290210;280220;290310;290320;290410,5,I;I;I;I;I,BLS CPI Handbook of Methods Appendix 5: CE UCC to CPI ELI Concordance（2024年度支出权重，2026-01起生效）,
CUUR0000SEHJ03,其他家具,Other furniture,R,HJ031;HJ032;HJ033,HJ031=Infants Furniture | HJ032=Outdoor Furniture | HJ033=Occasional Furniture,290420;290430;290440,3,I;I;I,BLS CPI Handbook of Methods Appendix 5: CE UCC to CPI ELI Concordance（2024年度支出权重，2026-01起生效）,
CUUR0000SEHK01,大家电,Major appliances,R,HK011;HK012;HK013;HK014,HK011=Refrigerators/Freezers | HK012=Washers/Dryers | HK013=Ranges/Cooktops | HK014=Microwave Ovens,300111;300112;300216;300217;300311;300312;300321;300322,8,I;I;I;I;I;I;I;I,BLS CPI Handbook of Methods Appendix 5: CE UCC to CPI ELI Concordance（2024年度支出权重，2026-01起生效）,
CUUR0000SEHK02,其他家电,Other appliances,R,HK021;HK022;HK023,HK021=Floor Cleaning Equipment | HK022=Small Electric Kitchen Appliances | HK023=Other Electric Appliances,320511;320521;300411;300412;320522;690244;690245,7,I;I;I;I;I;I;I,BLS CPI Handbook of Methods Appendix 5: CE UCC to CPI ELI Concordance（2024年度支出权重，2026-01起生效）,
CUUR0000SEHL01,钟表灯具装饰品,"Clocks, lamps, and decorator items",R,HL011;HL012,HL011=Lamps/Lighting Fixtures | HL012=Clocks/Decor Items,320221;320233,2,D;D,BLS CPI Handbook of Methods Appendix 5: CE UCC to CPI ELI Concordance（2024年度支出权重，2026-01起生效）,
CUUR0000SEHL03,餐具,Dishes and flatware,R,HL031;HL032,HL031=Dishes | HL032=Flatware,320345;320330,2,D;D,BLS CPI Handbook of Methods Appendix 5: CE UCC to CPI ELI Concordance（2024年度支出权重，2026-01起生效）,
CUUR0000SEHL04,非电炊具与餐具,Nonelectric cookware and tableware,R,HL041;HL042,HL041=Nonelectric Cookingware | HL042=Tableware/Non-Elec Kitware,320370;320380,2,D;D,BLS CPI Handbook of Methods Appendix 5: CE UCC to CPI ELI Concordance（2024年度支出权重，2026-01起生效）,
CUUR0000SEHM01,工具五金耗材,"Tools, hardware and supplies",R,HM012;HM013;HM014,HM012=Power Tools | HM013=Other Hardware | HM014=Hand Tools,320420;320430;320611;320612;320902,5,I;D;I;I;D,BLS CPI Handbook of Methods Appendix 5: CE UCC to CPI ELI Concordance（2024年度支出权重，2026-01起生效）,
CUUR0000SEHM02,户外装备与耗材,Outdoor equipment and supplies,R,HM021;HM022,HM021=Lawn/Garden/Outdoor Equip | HM022=Lawn/Garden Materials,320150;320410;330511;330610,4,D;D;I;D,BLS CPI Handbook of Methods Appendix 5: CE UCC to CPI ELI Concordance（2024年度支出权重，2026-01起生效）,
CUUR0000SEED03,手机通信服务,Wireless telephone services,R,ED031,ED031=Wireless Phone Service,270102,1,I,BLS CPI Handbook of Methods Appendix 5: CE UCC to CPI ELI Concordance（2024年度支出权重，2026-01起生效）,270102 为CPI调整因子拆分码：部分权重归手机硬件 ELI EE041（不在65品类），恩格尔回归取CE全额账单口径并备注
CUUR0000SEEE02,电脑软件,Computer software and accessories,R,EE021,EE021=Computer Software,310400;690117;690119,3,I;I;I,BLS CPI Handbook of Methods Appendix 5: CE UCC to CPI ELI Concordance（2024年度支出权重，2026-01起生效）,
CUUR0000SERA01,电视机,Televisions,R,RA011,RA011=Televisions,310140;690320,2,I;I,BLS CPI Handbook of Methods Appendix 5: CE UCC to CPI ELI Concordance（2024年度支出权重，2026-01起生效）,
CUUR0000SERA03,其他视频设备,Other video equipment,R,RA031,RA031=Other Video Equipment,310210;310315;310334;310335;690330;690350,6,I;D;I;D;I;I,BLS CPI Handbook of Methods Appendix 5: CE UCC to CPI ELI Concordance（2024年度支出权重，2026-01起生效）,
CUUR0000SERA04,视频购买/订阅/租赁,Purchase subscription and rental of video,R,RA041;RA042,RA041=Prerecorded Video | RA042=Rental Of Video,310220;310242;310241;620912;620918,5,D;D;D;D;I,BLS CPI Handbook of Methods Appendix 5: CE UCC to CPI ELI Concordance（2024年度支出权重，2026-01起生效）,
CUUR0000SERA05,音频设备,Audio equipment,R,RA051,RA051=Audio Equipment,310312;310314;310316;310331;310332;690340,6,D;I;I;D;D;I,BLS CPI Handbook of Methods Appendix 5: CE UCC to CPI ELI Concordance（2024年度支出权重，2026-01起生效）,
CUUR0000SERA06,录制音乐与订阅,Recorded music and music subscriptions,R,RA061,RA061=Music Media/Audio Content,270311;310340;310350,3,I;I;I,BLS CPI Handbook of Methods Appendix 5: CE UCC to CPI ELI Concordance（2024年度支出权重，2026-01起生效）,
CUUR0000SERE01,玩具,Toys,R,RE011,RE011=Toys/Games/Hobbies,610110;610120,2,D;I,BLS CPI Handbook of Methods Appendix 5: CE UCC to CPI ELI Concordance（2024年度支出权重，2026-01起生效）,
CUUR0000SERC01,运动车辆（含自行车）,Sports vehicles including bicycles,R,RC011;RC012;RC013,RC011=Outboard Motors/Powered Sports Vehicles | RC012=Unpowered Boats/Trailers | RC013=Bicycles,600110;600132;600133;600142;860701;600121;600122;600310,8,I;I;I;I;I;I;I;I,BLS CPI Handbook of Methods Appendix 5: CE UCC to CPI ELI Concordance（2024年度支出权重，2026-01起生效）,600133 为CPI拆分码(跨RC011/RC012)；已剔除房车/露营车 600151(主体属机动车TA090)；860701 为处置船/拖车的负向码
CUUR0000SERC02,运动装备,Sports equipment,R,RC021;RC022;RC023,RC021=General Sports Equipment | RC022=Water Sports Equipment | RC023=Hunting/Fishing/Camping Gear,600210;600430;600902;600901;600410;600420,6,I;I;I;I;D;D,BLS CPI Handbook of Methods Appendix 5: CE UCC to CPI ELI Concordance（2024年度支出权重，2026-01起生效）,
CUUR0000SERD01,摄影器材,Photographic equipment and supplies,R,RD011;RD012,RD011=Film/Photographic Supplies | RD012=Photographic Equipment,610210;610220;610230,3,I;D;I,BLS CPI Handbook of Methods Appendix 5: CE UCC to CPI ELI Concordance（2024年度支出权重，2026-01起生效）,
CUUR0000SERE02,缝纫机/布料/辅料,Sewing machines fabric and supplies,R,RE021,RE021=Sewing Items,320512;420115,2,I;I,BLS CPI Handbook of Methods Appendix 5: CE UCC to CPI ELI Concordance（2024年度支出权重，2026-01起生效）,
CUUR0000SERE03,乐器及配件,Music instruments and accessories,R,RE031,RE031=Music Instruments/Accessories,610130,1,I,BLS CPI Handbook of Methods Appendix 5: CE UCC to CPI ELI Concordance（2024年度支出权重，2026-01起生效）,
CUUR0000SERG02,娱乐书籍,Recreational books,R,RG022,RG022=Books,590230,1,I,BLS CPI Handbook of Methods Appendix 5: CE UCC to CPI ELI Concordance（2024年度支出权重，2026-01起生效）,报纸/杂志(ELI RG011/RG012)属 SERG01 不在65品类，本行仅取书籍 UCC 590230
CUUR0000SETC01,轮胎,Tires,R,TC011,TC011=Tires,480110,1,I,BLS CPI Handbook of Methods Appendix 5: CE UCC to CPI ELI Concordance（2024年度支出权重，2026-01起生效）,
CUUR0000SETC02,汽车配件（除轮胎）,Vehicle accessories other than tires,R,TC021;TC022,TC021=Vehicle Parts | TC022=Motor Oil/Fluids,480100;480213;470211;470212;470220,5,I;I;I;I;I,BLS CPI Handbook of Methods Appendix 5: CE UCC to CPI ELI Concordance（2024年度支出权重，2026-01起生效）,480100 为CPI拆分码（跨 ELI TC021/TC022，均在本品类内）
CUUR0000SEMD01,医院服务,Hospital services,N,MD011,MD011=Hospital Rooms/Services,570111;570230,2,I;D,BLS CPI Handbook of Methods Appendix 5: CE UCC to CPI ELI Concordance（2024年度支出权重，2026-01起生效）,不含健康保险 UCC(580xxx)——保险保费属 CPI SEME 健康保险，不在65品类
CUUR0000SEEB01,大学学费,College tuition and fees,N,EB011,EB011=College Tuition,670110,1,I,BLS CPI Handbook of Methods Appendix 5: CE UCC to CPI ELI Concordance（2024年度支出权重，2026-01起生效）,
CUUR0000SAM2,医疗护理服务,Medical care services,N,MC011;MC021;MC031;MC041,MC011=Physicians Services | MC021=Dental Services | MC031=Eyecare | MC041=Other Medical Professionals,560110;560210;550110;560310;550340;560330;560420,7,I;I;I;I;I;I;I,BLS CPI Handbook of Methods Appendix 5: CE UCC to CPI ELI Concordance（2024年度支出权重，2026-01起生效）,门诊医生/牙医/眼/其他专业人士服务；不含保险(580xxx)、不含医院(570xxx 属SEMD01)、不含家庭健康/疗养院(560410/570220)
CUUR0000SEEB03,托儿照护,Day care and preschool,N,EB031,EB031=Day Care/Preschool,670320,1,I,BLS CPI Handbook of Methods Appendix 5: CE UCC to CPI ELI Concordance（2024年度支出权重，2026-01起生效）,
CUUR0000SEHC01,住房（位置性）,Owners' equivalent rent of primary residence,N,HC011,HC011=Owners Equivalent Rent,910104,1,I,BLS CPI Handbook of Methods Appendix 5: CE UCC to CPI ELI Concordance（2024年度支出权重，2026-01起生效）,OER为归算租金，CE用 UCC 910104（Rental Equivalence of Owned Home）计，非实际现金支出
CUUR0000SEHA,主要住所租金,Rent of primary residence,N,HA011,HA011=Rent Of Dwelling,210110;800710,2,I;I,BLS CPI Handbook of Methods Appendix 5: CE UCC to CPI ELI Concordance（2024年度支出权重，2026-01起生效）,
CUUR0000SEHD,租户与家庭保险,Tenants' and household insurance,N,HD011,HD011=Tenants/Household Insurance,220121;350110,2,I;I,BLS CPI Handbook of Methods Appendix 5: CE UCC to CPI ELI Concordance（2024年度支出权重，2026-01起生效）,
CUUR0000SERB02,宠物服务（含兽医）,Pet services including veterinary,N,RB021;RB022,RB021=Pet Services | RB022=Vet Services,620410;620420,2,I;D,BLS CPI Handbook of Methods Appendix 5: CE UCC to CPI ELI Concordance（2024年度支出权重，2026-01起生效）,
CUUR0000SERF01,俱乐部会费/参与费,Club membership for shopping clubs fraternal or other organizations or participant sports fees,N,RF011,RF011=Club Dues/Fees,620111;620115;620121;620122;620930;680905,6,I;I;D;I;D;I,BLS CPI Handbook of Methods Appendix 5: CE UCC to CPI ELI Concordance（2024年度支出权重，2026-01起生效）,
CUUR0000SERF02,门票,Admissions,N,RF021;RF022,RF021=Admissions Movies/Theater | RF022=Admissions Sporting Events,620212;620213;620215;620216;620510;620221;620222,7,I;I;I;I;D;I;I,BLS CPI Handbook of Methods Appendix 5: CE UCC to CPI ELI Concordance（2024年度支出权重，2026-01起生效）,
CUUR0000SERF03,课程与指导费,Fees for lessons or instructions,N,RF031,RF031=Fees For Lessons,620310,1,I,BLS CPI Handbook of Methods Appendix 5: CE UCC to CPI ELI Concordance（2024年度支出权重，2026-01起生效）,
CUUR0000SETE,机动车保险,Motor vehicle insurance,N,TE011,TE011=Motor Vehicle Insurance,500110,1,I,BLS CPI Handbook of Methods Appendix 5: CE UCC to CPI ELI Concordance（2024年度支出权重，2026-01起生效）,
CUUR0000SETG02,其他城际交通,Other intercity transportation,N,TG021;TG022;TG023,TG021=Intercity Bus | TG022=Intercity Train | TG023=Ship/Cruise,530210;530510;530901,3,I;I;I,BLS CPI Handbook of Methods Appendix 5: CE UCC to CPI ELI Concordance（2024年度支出权重，2026-01起生效）,城际公交/火车/船；不含航空(TG011 属SETG01)与市内公交(TG031 属SETG03)
CUUR0000SEGC01,理发及其他个人护理服务,Haircuts and other personal care services,N,GC011,GC011=Personal Care Services,650310,1,I,BLS CPI Handbook of Methods Appendix 5: CE UCC to CPI ELI Concordance（2024年度支出权重，2026-01起生效）,
CUUR0000SEGD01,法律服务,Legal services,N,GD011,GD011=Legal Fees,680110,1,I,BLS CPI Handbook of Methods Appendix 5: CE UCC to CPI ELI Concordance（2024年度支出权重，2026-01起生效）,
CUUR0000SEGD02,殡葬服务,Funeral expenses,N,GD021,GD021=Funeral,680140;680901,2,I;I,BLS CPI Handbook of Methods Appendix 5: CE UCC to CPI ELI Concordance（2024年度支出权重，2026-01起生效）,
CUUR0000SEGD03,洗衣与干洗服务,Laundry and dry cleaning services,N,GD031,GD031=Laundry/Dry Cleaning,340520;340530;440120;440210;440900,5,D;D;I;I;I,BLS CPI Handbook of Methods Appendix 5: CE UCC to CPI ELI Concordance（2024年度支出权重，2026-01起生效）,
CUUR0000SEGD04,服装修补与其他服装服务,Apparel services other than laundry and dry cleaning,N,GD041;GD042;GD043,GD041=Shoe Repair | GD042=Clothing Alterations | GD043=Jewelry/Watch Repair,440110;440130;440140;440150,4,I;I;I;I,BLS CPI Handbook of Methods Appendix 5: CE UCC to CPI ELI Concordance（2024年度支出权重，2026-01起生效）,鞋修+服装改修/租赁+珠宝钟表维修
CUUR0000SEGD05,金融服务,Financial services,N,GD051;GD052,GD051=Checking/Bank Services | GD052=Accounting Fees,620112;680210;680220;680902,4,I;I;I;I,BLS CPI Handbook of Methods Appendix 5: CE UCC to CPI ELI Concordance（2024年度支出权重，2026-01起生效）,银行/支票账户服务+税务准备/会计费
CUUR0000SETD01,机动车车身修理,Motor vehicle body work,N,TD011,TD011=Motor Vehicle Body Work,490100,1,I,BLS CPI Handbook of Methods Appendix 5: CE UCC to CPI ELI Concordance（2024年度支出权重，2026-01起生效）,490100 为CPI拆分码：CE单一UCC无法拆 TD011/TD021/TD031，恩格尔回归需注明测量限制
CUUR0000SETD02,机动车维护保养,Motor vehicle maintenance and servicing,N,TD021,TD021=Motor Vehicle Maintenance,490100;520410;520550,3,I;I;I,BLS CPI Handbook of Methods Appendix 5: CE UCC to CPI ELI Concordance（2024年度支出权重，2026-01起生效）,490100 拆分码 + 520410(年检)/520550(拖车)
CUUR0000SETD03,机动车维修,Motor vehicle repair,N,TD031,TD031=Motor Vehicle Repair,490100,1,I,BLS CPI Handbook of Methods Appendix 5: CE UCC to CPI ELI Concordance（2024年度支出权重，2026-01起生效）,490100 拆分码
