series_id,中文品类名,H1分组,NAICS代码,NAICS行业名,BLS系列ID,口径来源,数据起始年,起始指数,数据末年,末年指数,年化增长率_pct,数据可用性,备注
CUUR0000SEAA02,男内衣/睡衣/泳装及配饰,R,315,服装制造,,,,,,,,无 BLS 数据,BLS IP 无该 NAICS 行业的劳动生产率数据（制造业细分层级未发布/服务业无 IP 覆盖）
CUUR0000SEAA03,男衬衫与毛衣,R,315,服装制造,,,,,,,,无 BLS 数据,BLS IP 无该 NAICS 行业的劳动生产率数据（制造业细分层级未发布/服务业无 IP 覆盖）
CUUR0000SEAA04,男裤与短裤,R,315,服装制造,,,,,,,,无 BLS 数据,BLS IP 无该 NAICS 行业的劳动生产率数据（制造业细分层级未发布/服务业无 IP 覆盖）
CUUR0000SEAC01,女外套,R,315,服装制造,,,,,,,,无 BLS 数据,BLS IP 无该 NAICS 行业的劳动生产率数据（制造业细分层级未发布/服务业无 IP 覆盖）
CUUR0000SEAC02,女连衣裙,R,315,服装制造,,,,,,,,无 BLS 数据,BLS IP 无该 NAICS 行业的劳动生产率数据（制造业细分层级未发布/服务业无 IP 覆盖）
CUUR0000SEAC03,女套装与单件,R,315,服装制造,,,,,,,,无 BLS 数据,BLS IP 无该 NAICS 行业的劳动生产率数据（制造业细分层级未发布/服务业无 IP 覆盖）
CUUR0000SEAC04,女内衣/睡衣/泳装及配饰,R,315,服装制造,,,,,,,,无 BLS 数据,BLS IP 无该 NAICS 行业的劳动生产率数据（制造业细分层级未发布/服务业无 IP 覆盖）
CUUR0000SEHH01,地面覆盖物,R,314,纺织产品厂,,,,,,,,无 BLS 数据,BLS IP 无该 NAICS 行业的劳动生产率数据（制造业细分层级未发布/服务业无 IP 覆盖）
CUUR0000SEHH02,窗帘与窗饰,R,314,纺织产品厂,,,,,,,,无 BLS 数据,BLS IP 无该 NAICS 行业的劳动生产率数据（制造业细分层级未发布/服务业无 IP 覆盖）
CUUR0000SEHH03,其他家纺布艺,R,314,纺织产品厂,,,,,,,,无 BLS 数据,BLS IP 无该 NAICS 行业的劳动生产率数据（制造业细分层级未发布/服务业无 IP 覆盖）
CUUR0000SEHJ01,卧室家具,R,337,家具及相关产品制造,,,,,,,,无 BLS 数据,BLS IP 无该 NAICS 行业的劳动生产率数据（制造业细分层级未发布/服务业无 IP 覆盖）
CUUR0000SEHJ02,客厅/厨房/餐厅家具,R,337,家具及相关产品制造,,,,,,,,无 BLS 数据,BLS IP 无该 NAICS 行业的劳动生产率数据（制造业细分层级未发布/服务业无 IP 覆盖）
CUUR0000SEHJ03,其他家具,R,337,家具及相关产品制造,,,,,,,,无 BLS 数据,BLS IP 无该 NAICS 行业的劳动生产率数据（制造业细分层级未发布/服务业无 IP 覆盖）
CUUR0000SEHK01,大家电,R,335,电气设备/家电及零件制造,,,,,,,,无 BLS 数据,BLS IP 无该 NAICS 行业的劳动生产率数据（制造业细分层级未发布/服务业无 IP 覆盖）
CUUR0000SEHK02,其他家电,R,335,电气设备/家电及零件制造,,,,,,,,无 BLS 数据,BLS IP 无该 NAICS 行业的劳动生产率数据（制造业细分层级未发布/服务业无 IP 覆盖）
CUUR0000SEHL01,钟表灯具装饰品,R,3351,电气照明设备制造,,,,,,,,无 BLS 数据,BLS IP 无该 NAICS 行业的劳动生产率数据（制造业细分层级未发布/服务业无 IP 覆盖）
CUUR0000SEHL03,餐具,R,33299,其他金属制品制造,,,,,,,,无 BLS 数据,BLS IP 无该 NAICS 行业的劳动生产率数据（制造业细分层级未发布/服务业无 IP 覆盖）
CUUR0000SEHL04,非电炊具与餐具,R,33221,刀具与手工工具制造,,,,,,,,无 BLS 数据,BLS IP 无该 NAICS 行业的劳动生产率数据（制造业细分层级未发布/服务业无 IP 覆盖）
CUUR0000SEHM01,工具五金耗材,R,3322,刀具与五金制造,,,,,,,,无 BLS 数据,BLS IP 无该 NAICS 行业的劳动生产率数据（制造业细分层级未发布/服务业无 IP 覆盖）
CUUR0000SEHM02,户外装备与耗材,R,33992,体育用品制造,,,,,,,,无 BLS 数据,BLS IP 无该 NAICS 行业的劳动生产率数据（制造业细分层级未发布/服务业无 IP 覆盖）
CUUR0000SETC01,轮胎,R,32621,轮胎制造,,,,,,,,无 BLS 数据,BLS IP 无该 NAICS 行业的劳动生产率数据（制造业细分层级未发布/服务业无 IP 覆盖）
CUUR0000SETC02,汽车配件（除轮胎）,R,3363,汽车零部件制造,,,,,,,,无 BLS 数据,BLS IP 无该 NAICS 行业的劳动生产率数据（制造业细分层级未发布/服务业无 IP 覆盖）
