series_id,中文品类名,H1分组,NAICS代码,NAICS行业名,映射层级,映射依据,映射置信度,BLS_IP_数据可用性,备注
CUUR0000SEGD04,服装修补与其他服装服务,N,81149,其他个人与家庭物品维修,5位,改衣/修补对应维修类,中,待验证,服务业
CUUR0000SEGD05,金融服务,N,52,金融与保险,2位,金融手续费/服务对应大类,中,待验证,聚合层——BLS IP 覆盖弱
CUUR0000SETD01,机动车车身修理,N,8111,汽车修理与维护,4位,直接对应,高,待验证,服务业
CUUR0000SETD02,机动车维护保养,N,8111,汽车修理与维护,4位,直接对应,高,待验证,服务业
CUUR0000SETD03,机动车维修,N,8111,汽车修理与维护,4位,直接对应,高,待验证,服务业
CUUR0000SEED03,手机通信服务,R,517,电信,3位,无线通信服务直接对应,高,待验证,服务但数字自动化——生产率高
CUUR0000SEEE02,电脑软件,R,5112,软件出版,4位,软件直接对应,高,待验证,信息业——BLS IP 有覆盖
CUUR0000SERE01,玩具,R,33993,玩具/游戏/洋娃娃制造,5位,直接对应,高,待验证,制造业——BLS IP 覆盖
CUUR0000SERA01,电视机,R,3343,音频与视频设备制造,4位,电视制造直接对应,高,待验证,制造业
CUUR0000SEAF,婴幼儿服装,R,315,服装制造,3位,直接对应,高,待验证,制造业
CUUR0000SEAB,童男装,R,315,服装制造,3位,直接对应,高,待验证,制造业
CUUR0000SEAD,童女装,R,315,服装制造,3位,直接对应,高,待验证,制造业
CUUR0000SEAE01,男鞋,R,3162,鞋类制造,4位,直接对应,高,待验证,制造业
CUUR0000SEAE02,童鞋,R,3162,鞋类制造,4位,直接对应,高,待验证,制造业
CUUR0000SEAE03,女鞋,R,3162,鞋类制造,4位,直接对应,高,待验证,制造业
CUUR0000SERA03,其他视频设备,R,3343,音频与视频设备制造,4位,视频硬件直接对应,高,待验证,制造业
CUUR0000SERA04,视频购买/订阅/租赁,R,5121,影视行业,4位,视频内容分发对应影视,中,待验证,数字分发——另含电信(517)成分
CUUR0000SERA05,音频设备,R,3343,音频与视频设备制造,4位,音频硬件直接对应,高,待验证,制造业
CUUR0000SERA06,录制音乐与订阅,R,5122,录音行业,4位,音乐录音直接对应,高,待验证,信息业
CUUR0000SERC01,运动车辆（含自行车）,R,33699,其他运输设备制造,5位,自行车制造对应,中,待验证,制造业
CUUR0000SERC02,运动装备,R,33992,体育用品制造,5位,直接对应,高,待验证,制造业
CUUR0000SERD01,摄影器材,R,33331,商业与服务行业机械制造,5位,摄影器材对应,中,待验证,制造业——摄影设备细分归属
CUUR0000SERE02,缝纫机/布料/辅料,R,313,纺织厂,3位,布料/辅料对应纺织,中,待验证,混合——缝纫机属 33324 机械制造
CUUR0000SERE03,乐器及配件,R,33999,其他杂项制造,5位,乐器制造对应,中,待验证,制造业
CUUR0000SERG02,娱乐书籍,R,51113,书籍出版,5位,直接对应,高,待验证,信息业
CUUR0000SEAA01,男西装与外套,R,315,服装制造,3位,直接对应,高,待验证,制造业
CUUR0000SEAA02,男内衣/睡衣/泳装及配饰,R,315,服装制造,3位,直接对应,高,待验证,制造业
CUUR0000SEAA03,男衬衫与毛衣,R,315,服装制造,3位,直接对应,高,待验证,制造业
CUUR0000SEAA04,男裤与短裤,R,315,服装制造,3位,直接对应,高,待验证,制造业
CUUR0000SEAC01,女外套,R,315,服装制造,3位,直接对应,高,待验证,制造业
CUUR0000SEAC02,女连衣裙,R,315,服装制造,3位,直接对应,高,待验证,制造业
CUUR0000SEAC03,女套装与单件,R,315,服装制造,3位,直接对应,高,待验证,制造业
CUUR0000SEAC04,女内衣/睡衣/泳装及配饰,R,315,服装制造,3位,直接对应,高,待验证,制造业
CUUR0000SEHH01,地面覆盖物,R,314,纺织产品厂,3位,地毯/地面覆盖对应纺织,中,待验证,制造业
CUUR0000SEHH02,窗帘与窗饰,R,314,纺织产品厂,3位,窗帘对应纺织,中,待验证,制造业
CUUR0000SEHH03,其他家纺布艺,R,314,纺织产品厂,3位,家纺对应纺织,中,待验证,制造业
CUUR0000SEHJ01,卧室家具,R,337,家具及相关产品制造,3位,直接对应,高,待验证,制造业
CUUR0000SEHJ02,客厅/厨房/餐厅家具,R,337,家具及相关产品制造,3位,直接对应,高,待验证,制造业
CUUR0000SEHJ03,其他家具,R,337,家具及相关产品制造,3位,直接对应,高,待验证,制造业
CUUR0000SEHK01,大家电,R,335,电气设备/家电及零件制造,3位,直接对应,高,待验证,制造业
CUUR0000SEHK02,其他家电,R,335,电气设备/家电及零件制造,3位,直接对应,高,待验证,制造业
CUUR0000SEHL01,钟表灯具装饰品,R,3351,电气照明设备制造,4位,灯具对应照明设备,中,待验证,混合——钟表属 3345、装饰品无统一归属
CUUR0000SEHL03,餐具,R,33299,其他金属制品制造,5位,金属餐具对应,中,待验证,混合——玻璃/陶瓷餐具属 327 非金属矿物
CUUR0000SEHL04,非电炊具与餐具,R,33221,刀具与手工工具制造,5位,炊具/刀具对应,中,待验证,制造业
CUUR0000SEHM01,工具五金耗材,R,3322,刀具与五金制造,4位,直接对应,高,待验证,制造业
CUUR0000SEHM02,户外装备与耗材,R,33992,体育用品制造,5位,户外装备对应,中,待验证,制造业
CUUR0000SETC01,轮胎,R,32621,轮胎制造,5位,直接对应,高,待验证,制造业
CUUR0000SETC02,汽车配件（除轮胎）,R,3363,汽车零部件制造,4位,直接对应,高,待验证,制造业
